nombre,apellido,edad,email
Juan,Pérez,30,juan.perez@example.com
Ana,García,25,ana.garcia@example.com
Carlos,Rodríguez,35,carlos.rodriguez@example.com
María,López,28,maria.lopez@example.com
Jorge,Martínez,32,jorge.martinez@example.com
Sofía,Hernández,27,sofia.hernandez@example.com
Luis,González,33,luis.gonzalez@example.com
Gabriela,Ramírez,29,gabriela.ramirez@example.com
Fernando,Torres,31,fernando.torres@example.com
Isabel,Sánchez,26,isabel.sanchez@example.com
Ricardo,Morales,34,ricardo.morales@example.com
Carmen,Guzmán,30,carmen.guzman@example.com
Antonio,Castillo,28,antonio.castillo@example.com
Patricia,Pérez,32,patricia.perez@example.com
Manuel,García,27,manuel.garcia@example.com
Laura,Rodríguez,33,laura.rodriguez@example.com
Javier,López,29,javier.lopez@example.com
Teresa,Martínez,31,teresa.martinez@example.com
José,Hernández,26,jose.hernandez@example.com
Cecilia,González,34,Cecilia.gonzalez@example.com
